# val_loss_alpha,val_loss_phic,val_loss_h,val_spread_alpha,val_spread_phic,val_spread_h
2.402932e-01,1.342658e-01,1.450186e-01,1.439129e-01,8.044248e-02,8.076078e-02
2.782835e-01,1.334703e-01,1.453809e-01,1.438695e-01,7.850760e-02,8.138666e-02
2.467062e-01,1.381147e-01,1.461335e-01,1.433437e-01,7.929730e-02,8.280858e-02
2.550859e-01,1.377808e-01,1.378971e-01,1.439000e-01,7.899318e-02,8.195801e-02
2.472381e-01,1.409773e-01,1.468074e-01,1.435611e-01,7.978188e-02,8.284666e-02
2.299922e-01,1.342715e-01,1.515556e-01,1.395770e-01,8.141318e-02,8.113587e-02
2.507676e-01,1.382030e-01,1.464821e-01,1.455820e-01,7.998323e-02,8.091500e-02
2.424992e-01,1.312186e-01,1.374804e-01,1.427807e-01,8.256602e-02,8.164736e-02
2.248496e-01,1.374418e-01,1.485464e-01,1.407280e-01,8.082561e-02,8.106984e-02
2.327210e-01,1.273597e-01,1.402015e-01,1.469936e-01,8.436544e-02,8.183950e-02
2.617246e-01,1.363229e-01,1.407118e-01,1.431708e-01,8.148913e-02,8.064147e-02
2.344315e-01,1.327642e-01,1.497625e-01,1.425128e-01,8.066941e-02,8.102594e-02
2.335422e-01,1.325813e-01,1.454830e-01,1.432243e-01,8.325448e-02,8.167908e-02
2.490185e-01,1.257151e-01,1.405505e-01,1.411241e-01,8.462565e-02,8.042872e-02
2.570928e-01,1.230362e-01,1.515442e-01,1.415333e-01,8.308787e-02,8.327426e-02
2.571741e-01,1.402106e-01,1.412118e-01,1.397960e-01,8.211103e-02,8.166750e-02
2.357330e-01,1.298395e-01,1.451157e-01,1.388614e-01,8.406181e-02,8.098468e-02
2.232602e-01,1.231721e-01,1.439261e-01,1.405358e-01,8.370840e-02,8.061760e-02
2.268819e-01,1.229846e-01,1.437008e-01,1.420737e-01,8.425606e-02,8.135983e-02
2.445325e-01,1.314667e-01,1.411531e-01,1.387547e-01,8.283856e-02,8.071802e-02
2.306888e-01,1.395062e-01,1.389703e-01,1.399941e-01,8.173355e-02,8.162529e-02
2.229662e-01,1.350469e-01,1.409793e-01,1.406376e-01,8.348848e-02,8.192790e-02
2.343499e-01,1.220165e-01,1.391380e-01,1.386835e-01,8.397902e-02,8.199020e-02
2.306697e-01,1.212150e-01,1.404374e-01,1.402510e-01,8.600349e-02,8.246676e-02
2.216786e-01,1.361196e-01,1.511928e-01,1.373396e-01,8.218412e-02,8.026548e-02
2.268555e-01,1.344859e-01,1.416231e-01,1.358336e-01,8.070620e-02,8.076865e-02
2.319040e-01,1.294184e-01,1.398740e-01,1.387323e-01,8.496639e-02,8.159985e-02
2.428485e-01,1.301371e-01,1.354318e-01,1.391986e-01,8.391510e-02,8.178539e-02
1.957840e-01,1.298090e-01,1.430488e-01,1.384264e-01,8.344496e-02,8.168052e-02
2.169631e-01,1.332319e-01,1.376928e-01,1.363725e-01,8.137938e-02,8.279912e-02
2.355910e-01,1.275026e-01,1.382667e-01,1.399319e-01,8.566887e-02,8.215457e-02
2.313573e-01,1.371241e-01,1.404969e-01,1.386929e-01,8.288239e-02,8.173652e-02
2.259784e-01,1.382516e-01,1.396252e-01,1.368880e-01,8.333537e-02,8.205202e-02
2.215053e-01,1.365602e-01,1.436441e-01,1.377910e-01,8.442211e-02,8.247475e-02
2.201131e-01,1.255897e-01,1.395246e-01,1.363632e-01,8.679916e-02,8.294136e-02
2.363472e-01,1.359590e-01,1.433271e-01,1.375569e-01,8.495594e-02,8.228797e-02
2.128562e-01,1.285439e-01,1.373607e-01,1.368275e-01,8.592600e-02,8.279181e-02
2.546685e-01,1.361422e-01,1.383387e-01,1.378337e-01,8.448431e-02,8.305418e-02
