alpha,phi,h
0.151429,0.172530,0.726800
0.814285,0.565040,0.774700
0.504082,0.447464,0.651786
0.594286,0.213800,0.545960
0.766667,0.253583,0.752983
0.300000,0.621550,0.960200
0.521429,0.362212,0.959400
0.652381,0.158100,0.946533
0.308929,0.212344,0.562825
0.942857,0.355100,0.992200
0.766667,0.253583,0.752983
0.594286,0.213800,0.545960
0.611429,0.211750,0.560540
0.700000,0.061783,0.485650
0.594286,0.213800,0.545960
0.395238,0.247208,0.715983
0.919047,0.704308,0.634550
0.504082,0.447464,0.651786
0.414286,0.610360,0.589600
0.919047,0.704308,0.634550
0.504082,0.447464,0.651786
0.966072,0.202094,0.877900
0.504082,0.447464,0.651786
0.862857,0.259440,0.824860
0.919047,0.704308,0.634550
0.642858,0.365375,0.784200
0.721429,0.194233,0.777267
0.560715,0.451362,0.731350
0.402041,0.250243,0.809429
0.803571,0.535637,0.649400
0.300000,0.621550,0.960200
0.652381,0.158100,0.946533
0.662857,0.227910,0.907920
0.168572,0.537210,0.630940
0.560715,0.451362,0.731350
0.690476,0.614550,0.926533
0.509524,0.390083,0.826167
0.642858,0.365375,0.784200
0.594286,0.213800,0.545960
0.642858,0.365375,0.784200
0.585714,0.057950,0.690100
0.414286,0.610360,0.589600
0.919047,0.704308,0.634550
0.652381,0.158100,0.946533
0.395238,0.247208,0.715983
0.714286,0.350650,0.617250
0.300000,0.621550,0.960200
0.382857,0.210630,0.732160
0.557143,0.418600,0.731900
0.585714,0.073200,0.516600
0.557143,0.855700,0.606300
0.557143,0.855700,0.606300
0.300000,0.621550,0.960200
0.560715,0.451362,0.731350
0.257143,0.068725,0.681900
0.542857,0.046964,0.958382
0.919047,0.704308,0.634550
0.509524,0.390083,0.826167
0.560715,0.451362,0.731350
0.594286,0.213800,0.545960
0.490476,0.023400,0.069233
0.662857,0.227910,0.907920
0.509524,0.390083,0.826167
0.842858,0.741475,0.738850
0.542857,0.046964,0.958382
0.919047,0.704308,0.634550
0.714286,0.350650,0.617250
0.542857,0.046964,0.958382
0.509524,0.390083,0.826167
0.690476,0.614550,0.926533
0.803571,0.535637,0.649400
0.347619,0.058133,0.680000
0.907142,0.460550,0.208500
0.942857,0.355100,0.992200
0.200000,0.042550,0.793140
0.557143,0.855700,0.606300
0.766667,0.253583,0.752983
0.151429,0.172530,0.726800
0.639286,0.861412,0.815925
0.611429,0.211750,0.560540
0.395238,0.247208,0.715983
0.871429,0.085050,0.450187
0.907142,0.460550,0.208500
0.300000,0.621550,0.960200
0.662857,0.227910,0.907920
0.594286,0.213800,0.545960
0.814285,0.565040,0.774700
0.300000,0.621550,0.960200
0.514286,0.382463,0.836900
0.504082,0.447464,0.651786
0.919047,0.704308,0.634550
0.500000,0.224750,0.790400
0.642858,0.365375,0.784200
0.300000,0.621550,0.960200
0.504082,0.447464,0.651786
0.151429,0.172530,0.726800
0.919047,0.704308,0.634550
0.803571,0.535637,0.649400
0.862857,0.259440,0.824860
0.504082,0.447464,0.651786
0.594286,0.213800,0.545960
0.423810,0.098906,0.690067
0.560715,0.451362,0.731350
0.504082,0.447464,0.651786
0.038095,0.022267,0.970300
0.266667,0.452017,0.698167
0.594286,0.213800,0.545960
0.300000,0.621550,0.960200
0.690476,0.614550,0.926533
0.585714,0.057950,0.690100
0.521429,0.362212,0.959400
0.700000,0.061783,0.485650
0.395238,0.247208,0.715983
0.642858,0.365375,0.784200
0.803571,0.535637,0.649400
0.328571,0.019300,0.576000
0.308929,0.212344,0.562825
0.828572,0.528100,0.844883
0.504082,0.447464,0.651786
0.082143,0.097488,0.895975
0.560715,0.451362,0.731350
0.585714,0.057950,0.690100
0.826190,0.837783,0.675083
0.714286,0.350650,0.617250
0.814285,0.565040,0.774700
0.803571,0.535637,0.649400
0.300000,0.621550,0.960200
0.509524,0.390083,0.826167
0.521429,0.362212,0.959400
0.542857,0.046964,0.958382
0.557143,0.855700,0.606300
0.766667,0.253583,0.752983
0.690476,0.614550,0.926533
0.814285,0.565040,0.774700
0.542857,0.046964,0.958382
0.919047,0.704308,0.634550
0.585714,0.073200,0.516600
0.662857,0.227910,0.907920
0.504082,0.447464,0.651786
0.585714,0.057950,0.690100
0.300000,0.621550,0.960200
0.528572,0.380787,0.532950
0.803571,0.535637,0.649400
0.566667,0.058733,0.845833
0.168572,0.537210,0.630940
0.594286,0.213800,0.545960
0.504082,0.447464,0.651786
0.542857,0.046964,0.958382
0.721429,0.194233,0.777267
0.919047,0.704308,0.634550
0.521429,0.362212,0.959400
0.803571,0.535637,0.649400
0.504082,0.447464,0.651786
0.592857,0.835538,0.803125
0.803571,0.535637,0.649400
0.721429,0.194233,0.777267
0.714286,0.350650,0.617250
0.605714,0.296870,0.908500
0.300000,0.621550,0.960200
0.662857,0.227910,0.907920
0.557143,0.855700,0.606300
0.168572,0.537210,0.630940
0.402041,0.250243,0.809429
0.175714,0.025085,0.954350
0.662857,0.227910,0.907920
0.966072,0.202094,0.877900
0.862857,0.259440,0.824860
0.504082,0.447464,0.651786
0.300000,0.621550,0.960200
0.652381,0.158100,0.946533
0.395238,0.247208,0.715983
0.560715,0.451362,0.731350
0.585714,0.057950,0.690100
0.175714,0.025085,0.954350
0.347619,0.058133,0.680000
0.257143,0.068725,0.681900
0.611429,0.211750,0.560540
0.560715,0.451362,0.731350
0.521429,0.362212,0.959400
0.702857,0.535565,0.510430
0.652381,0.158100,0.946533
0.853061,0.215843,0.876929
0.778571,0.433467,0.753300
0.490476,0.024450,0.988400
0.582857,0.071640,0.908080
0.828572,0.280417,0.826333
0.874286,0.200890,0.760940
0.796428,0.496537,0.697050
0.219048,0.055583,0.611800
0.435714,0.169725,0.733833
0.760000,0.495060,0.947200
0.357143,0.340850,0.883300
0.326530,0.112757,0.885357
0.435714,0.169725,0.733833
0.851429,0.184100,0.801260
0.700000,0.451175,0.966600
0.828572,0.280417,0.826333
0.740476,0.445250,0.566217
0.764285,0.533775,0.710150
0.522857,0.021420,0.541080
0.326530,0.112757,0.885357
0.804762,0.403217,0.297367
0.585714,0.285200,0.746650
0.760000,0.495060,0.947200
0.832143,0.161725,0.969500
0.492857,0.339525,0.964250
0.338095,0.250083,0.980350
0.760000,0.495060,0.947200
0.425000,0.288562,0.933450
0.412500,0.590044,0.787050
0.664286,0.495758,0.814000
0.760000,0.495060,0.947200
0.580952,0.271883,0.481467
0.435714,0.169725,0.733833
0.852381,0.404733,0.714200
0.547619,0.224100,0.597633
0.760000,0.495060,0.947200
0.535714,0.317462,0.945475
0.425000,0.288562,0.933450
0.853061,0.215843,0.876929
0.490476,0.024450,0.988400
0.328571,0.012762,0.620625
0.760000,0.495060,0.947200
0.488571,0.092120,0.790280
0.853061,0.215843,0.876929
0.409524,0.362600,0.922000
0.589286,0.376163,0.923250
0.760000,0.495060,0.947200
0.828572,0.280417,0.826333
0.676786,0.667913,0.796675
0.804762,0.403217,0.297367
0.485714,0.043463,0.595050
0.192857,0.057363,0.811775
0.760000,0.495060,0.947200
0.851429,0.620320,0.498840
0.053572,0.187987,0.644125
0.676786,0.667913,0.796675
0.435714,0.169725,0.733833
0.360714,0.743700,0.746175
0.792857,0.266550,0.587950
0.874286,0.200890,0.760940
0.485714,0.043463,0.595050
0.782143,0.441550,0.913025
0.828572,0.280417,0.826333
0.553968,0.060806,0.856789
0.357143,0.340850,0.883300
0.804762,0.403217,0.297367
0.210204,0.197071,0.886271
0.585714,0.285200,0.746650
0.805714,0.212250,0.881120
0.374286,0.107560,0.906360
0.435714,0.169725,0.733833
0.435714,0.169725,0.733833
0.852381,0.404733,0.714200
0.874286,0.200890,0.760940
0.522857,0.021420,0.541080
0.502857,0.170010,0.954940
0.860715,0.265487,0.129300
0.760000,0.495060,0.947200
0.409524,0.362600,0.922000
0.435714,0.169725,0.733833
0.652381,0.188650,0.554883
0.760000,0.495060,0.947200
0.911905,0.351692,0.818400
0.792857,0.266550,0.587950
0.492857,0.339525,0.964250
0.325714,0.685360,0.655740
0.374286,0.107560,0.906360
0.552381,0.026000,0.987533
0.851429,0.184100,0.801260
0.760000,0.495060,0.947200
0.490476,0.024450,0.988400
0.419048,0.021050,0.640000
0.853061,0.215843,0.876929
0.582857,0.071640,0.908080
0.117857,0.254475,0.719350
0.552381,0.026000,0.987533
0.851429,0.184100,0.801260
0.860715,0.265487,0.129300
0.407143,0.309850,0.818200
0.760000,0.495060,0.947200
0.914286,0.561325,0.845675
0.847619,0.109658,0.853350
0.242857,0.238700,0.666500
0.771428,0.016800,0.817300
0.420000,0.233930,0.785560
0.357143,0.340850,0.883300
0.760000,0.495060,0.947200
0.425000,0.288562,0.933450
0.771429,0.232013,0.731275
0.853061,0.215843,0.876929
0.760000,0.495060,0.947200
0.771429,0.129450,0.978200
0.412500,0.590044,0.787050
0.760000,0.495060,0.947200
0.589286,0.376163,0.923250
0.535714,0.317462,0.945475
0.325714,0.685360,0.655740
0.575510,0.224436,0.961214
0.676786,0.667913,0.796675
0.583333,0.237692,0.906017
0.582143,0.063988,0.678650
0.760000,0.495060,0.947200
0.480952,0.100983,0.762333
0.853061,0.215843,0.876929
0.435714,0.169725,0.733833
0.792857,0.266550,0.587950
0.832143,0.161725,0.969500
0.805714,0.212250,0.881120
0.435714,0.169725,0.733833
0.804762,0.403217,0.297367
0.740476,0.445250,0.566217
0.409524,0.362600,0.922000
0.760000,0.495060,0.947200
0.338095,0.250083,0.980350
0.739286,0.354287,0.659125
0.374286,0.107560,0.906360
0.412500,0.590044,0.787050
0.760000,0.495060,0.947200
0.778571,0.433467,0.753300
0.760000,0.495060,0.947200
0.435714,0.169725,0.733833
0.435714,0.169725,0.733833
0.804762,0.403217,0.297367
0.696429,0.231563,0.690550
0.914286,0.417150,0.824150
0.435714,0.169725,0.733833
0.412500,0.590044,0.787050
0.178571,0.079550,0.529450
0.853061,0.215843,0.876929
0.760000,0.495060,0.947200
0.948979,0.122443,0.708857
0.325714,0.685360,0.655740
0.447619,0.202150,0.793000
0.523809,0.467283,0.450500
0.740476,0.445250,0.566217
0.582857,0.071640,0.908080
0.338095,0.250083,0.980350
0.760000,0.495060,0.947200
0.700000,0.309588,0.838150
0.522857,0.021420,0.541080
0.425000,0.288562,0.933450
0.796428,0.496537,0.697050
0.760000,0.495060,0.947200
0.760000,0.495060,0.947200
0.492857,0.339525,0.964250
0.225714,0.087940,0.925460
0.676786,0.667913,0.796675
0.740476,0.445250,0.566217
0.338095,0.250083,0.980350
0.851429,0.184100,0.801260
0.582857,0.071640,0.908080
0.760000,0.495060,0.947200
0.225714,0.087940,0.925460
0.874286,0.200890,0.760940
0.435714,0.169725,0.733833
0.771429,0.129450,0.978200
0.828572,0.280417,0.826333
0.522857,0.021420,0.541080
0.676786,0.667913,0.796675
0.760000,0.495060,0.947200
0.760000,0.495060,0.947200
0.740476,0.445250,0.566217
0.028571,0.227112,0.695000
0.338095,0.250083,0.980350
0.853061,0.215843,0.876929
0.435714,0.169725,0.733833
0.760000,0.495060,0.947200
0.338095,0.250083,0.980350
0.485714,0.043463,0.595050
0.700000,0.309588,0.838150
0.412500,0.590044,0.787050
0.696429,0.231563,0.690550
0.225714,0.087940,0.925460
0.760000,0.495060,0.947200
0.523809,0.467283,0.450500
0.338095,0.250083,0.980350
0.853061,0.215843,0.876929
0.414286,0.640100,0.584225
0.412500,0.590044,0.787050
0.547619,0.224100,0.597633
0.760000,0.495060,0.947200
0.676786,0.667913,0.796675
0.914286,0.417150,0.824150
0.814286,0.359000,0.587500
0.804762,0.403217,0.297367
0.442857,0.095562,0.784900
0.650000,0.179125,0.650750
0.435714,0.169725,0.733833
0.435714,0.169725,0.733833
0.488571,0.092120,0.790280
0.447619,0.202150,0.793000
0.338095,0.250083,0.980350
0.178571,0.079550,0.529450
0.435714,0.169725,0.733833
0.522857,0.021420,0.541080
0.582857,0.071640,0.908080
0.417857,0.696488,0.654425
0.447619,0.202150,0.793000
0.435714,0.169725,0.733833
0.425000,0.288562,0.933450
0.760000,0.495060,0.947200
0.582143,0.063988,0.678650
0.507143,0.021225,0.773050
0.740476,0.445250,0.566217
0.447619,0.202150,0.793000
0.760000,0.495060,0.947200
0.828572,0.280417,0.826333
0.420000,0.233930,0.785560
0.769388,0.063664,0.642929
0.480952,0.100983,0.762333
0.582857,0.071640,0.908080
0.485714,0.043463,0.595050
0.582857,0.071640,0.908080
0.447619,0.202150,0.793000
0.760000,0.495060,0.947200
0.409524,0.362600,0.922000
0.435714,0.169725,0.733833
0.804762,0.403217,0.297367
0.760000,0.495060,0.947200
0.942857,0.181667,0.618567
0.326530,0.112757,0.885357
0.582143,0.063988,0.678650
0.942857,0.181667,0.618567
0.760000,0.495060,0.947200
0.782143,0.441550,0.913025
0.676786,0.667913,0.796675
0.414286,0.640100,0.584225
0.374286,0.107560,0.906360
0.847619,0.109658,0.853350
0.178571,0.079550,0.529450
0.760000,0.495060,0.947200
0.760000,0.495060,0.947200
0.585714,0.285200,0.746650
0.760000,0.495060,0.947200
0.425000,0.288562,0.933450
0.828572,0.280417,0.826333
0.740476,0.445250,0.566217
0.582857,0.071640,0.908080
0.385714,0.222750,0.585400
0.852381,0.404733,0.714200
0.426531,0.163757,0.483900
0.535714,0.317462,0.945475
0.696429,0.231563,0.690550
0.502857,0.170010,0.954940
0.911905,0.351692,0.818400
0.583333,0.237692,0.906017
0.485714,0.043463,0.595050
0.760000,0.495060,0.947200
0.814286,0.359000,0.587500
0.582857,0.071640,0.908080
0.547619,0.224100,0.597633
0.128571,0.176050,0.849000
0.771428,0.016800,0.817300
0.438095,0.914217,0.810033
0.502857,0.170010,0.954940
0.828572,0.280417,0.826333
0.760000,0.495060,0.947200
0.338095,0.250083,0.980350
0.804762,0.403217,0.297367
0.614286,0.130858,0.093450
0.585714,0.285200,0.746650
0.771429,0.232013,0.731275
0.851429,0.184100,0.801260
0.435714,0.169725,0.733833
0.760000,0.495060,0.947200
0.425000,0.288562,0.933450
0.442857,0.095562,0.784900
0.851429,0.184100,0.801260
0.874286,0.200890,0.760940
0.914286,0.417150,0.824150
0.420000,0.233930,0.785560
0.589286,0.376163,0.923250
0.847619,0.109658,0.853350
0.410714,0.569312,0.872450
0.804762,0.403217,0.297367
0.810715,0.545875,0.705825
0.490476,0.024450,0.988400
0.585714,0.285200,0.746650
0.522857,0.021420,0.541080
0.447619,0.202150,0.793000
0.740476,0.445250,0.566217
0.832143,0.161725,0.969500
0.425000,0.288562,0.933450
0.914286,0.561325,0.845675
0.582857,0.071640,0.908080
0.914286,0.417150,0.824150
0.374286,0.107560,0.906360
0.338095,0.250083,0.980350
0.492857,0.339525,0.964250
0.435714,0.169725,0.733833
0.676786,0.667913,0.796675
0.792857,0.266550,0.587950
0.296826,0.800022,0.529578
0.676786,0.667913,0.796675
0.374286,0.107560,0.906360
0.435714,0.169725,0.733833
0.828572,0.280417,0.826333
0.435714,0.169725,0.733833
0.523809,0.467283,0.450500
0.417857,0.696488,0.654425
0.409524,0.527583,0.569967
0.874286,0.200890,0.760940
0.325714,0.685360,0.655740
0.192857,0.057363,0.811775
0.053572,0.187987,0.644125
0.582857,0.071640,0.908080
0.552381,0.026000,0.987533
0.851429,0.184100,0.801260
0.760000,0.495060,0.947200
0.326530,0.112757,0.885357
0.885714,0.044450,0.489700
0.412500,0.590044,0.787050
0.871429,0.281400,0.782700
0.447619,0.202150,0.793000
0.861905,0.191133,0.372100
0.357143,0.340850,0.883300
0.760000,0.495060,0.947200
0.435714,0.169725,0.733833
0.210204,0.197071,0.886271
0.847619,0.109658,0.853350
0.828572,0.280417,0.826333
0.851429,0.620320,0.498840
0.740476,0.445250,0.566217
0.828572,0.280417,0.826333
0.851429,0.184100,0.801260
0.425000,0.288562,0.933450
0.874286,0.200890,0.760940
0.435714,0.169725,0.733833
0.757143,0.478225,0.787450
0.435714,0.169725,0.733833
0.804762,0.403217,0.297367
0.760000,0.495060,0.947200
0.760000,0.495060,0.947200
0.374286,0.107560,0.906360
0.575510,0.224436,0.961214
0.853061,0.215843,0.876929
0.778571,0.433467,0.753300
0.760000,0.495060,0.947200
0.760000,0.495060,0.947200
0.553968,0.060806,0.856789
0.502857,0.170010,0.954940
0.914286,0.417150,0.824150
0.760000,0.495060,0.947200
0.585714,0.285200,0.746650
0.385714,0.222750,0.585400
0.507143,0.021225,0.773050
0.338095,0.250083,0.980350
0.447619,0.202150,0.793000
0.657143,0.042200,0.910800
0.760000,0.495060,0.947200
0.828572,0.280417,0.826333
0.804762,0.403217,0.297367
0.128571,0.996875,0.729400
0.651429,0.139150,0.892280
0.796428,0.496537,0.697050
0.871429,0.281400,0.782700
0.607143,0.604183,0.660783
0.535714,0.317462,0.945475
0.535714,0.317462,0.945475
0.482857,0.283930,0.610120
0.435714,0.169725,0.733833
0.447619,0.202150,0.793000
0.325714,0.685360,0.655740
0.435714,0.169725,0.733833
0.778571,0.433467,0.753300
0.773809,0.449425,0.831767
0.417857,0.696488,0.654425
0.628571,0.414100,0.836700
0.796428,0.496537,0.697050
0.338095,0.250083,0.980350
0.851429,0.184100,0.801260
0.676786,0.667913,0.796675
0.116327,0.093307,0.954757
0.552381,0.026000,0.987533
0.447619,0.202150,0.793000
0.357143,0.340850,0.883300
0.852381,0.404733,0.714200
0.535714,0.317462,0.945475
0.851429,0.184100,0.801260
0.760000,0.495060,0.947200
0.992857,0.261792,0.811283
0.574286,0.167760,0.406500
0.217143,0.366290,0.898980
0.647619,0.194744,0.555989
0.897959,0.149864,0.720200
0.597619,0.575533,0.991400
0.640000,0.263490,0.937960
0.844048,0.424575,0.625583
0.567857,0.253763,0.801500
0.542857,0.034925,0.844900
0.385714,0.239043,0.795371
0.653571,0.496000,0.726800
0.514286,0.043330,0.979640
0.566667,0.379750,0.728133
0.382857,0.120610,0.839440
0.892857,0.322450,0.821600
0.911428,0.279090,0.960940
0.764286,0.668800,0.815967
0.918571,0.640640,0.460520
0.568572,0.375900,0.292380
0.844048,0.424575,0.625583
0.750000,0.550725,0.916050
0.574285,0.324410,0.596580
0.709524,0.587733,0.901300
0.496429,0.235200,0.644100
0.844048,0.424575,0.625583
0.671429,0.710800,0.734500
0.242858,0.651925,0.521350
0.314286,0.213420,0.656060
0.364286,0.561625,0.939950
0.992857,0.261792,0.811283
0.568572,0.375900,0.292380
0.645238,0.200817,0.628517
0.709524,0.587733,0.901300
0.328572,0.125762,0.669725
0.709524,0.587733,0.901300
0.568572,0.375900,0.292380
0.135714,0.354425,0.875117
0.750000,0.550725,0.916050
0.431169,0.659214,0.716445
0.328572,0.125762,0.669725
0.314286,0.213420,0.656060
0.073469,0.183471,0.912414
0.566667,0.379750,0.728133
0.314286,0.213420,0.656060
0.597619,0.575533,0.991400
0.709524,0.587733,0.901300
0.992857,0.261792,0.811283
0.662857,0.066670,0.773900
0.314286,0.213420,0.656060
0.414286,0.217200,0.827500
0.548980,0.454821,0.583886
0.905714,0.264510,0.840700
0.533333,0.703600,0.758333
0.148979,0.194600,0.806543
0.087755,0.254536,0.817543
0.709524,0.587733,0.901300
0.653571,0.171975,0.858950
0.328572,0.125762,0.669725
0.567857,0.253763,0.801500
0.414286,0.217200,0.827500
0.844048,0.424575,0.625583
0.709524,0.587733,0.901300
0.617857,0.063637,0.834750
0.087755,0.254536,0.817543
0.546939,0.241321,0.537443
0.574286,0.167760,0.406500
0.617857,0.063637,0.834750
0.535714,0.426413,0.834075
0.217143,0.366290,0.898980
0.200000,0.775975,0.766800
0.568572,0.375900,0.292380
0.897959,0.149864,0.720200
0.574285,0.324410,0.596580
0.328572,0.125762,0.669725
0.097619,0.284825,0.597250
0.750000,0.550725,0.916050
0.314286,0.213420,0.656060
0.645238,0.200817,0.628517
0.568572,0.375900,0.292380
0.696429,0.630088,0.608525
0.778572,0.253958,0.666850
0.921428,0.204117,0.550167
0.568572,0.375900,0.292380
0.709524,0.587733,0.901300
0.645238,0.200817,0.628517
0.104762,0.364533,0.756833
0.574286,0.167760,0.406500
0.609524,0.561000,0.538867
0.905714,0.264510,0.840700
0.365306,0.033543,0.659086
0.609524,0.561000,0.538867
0.777551,0.309614,0.461557
0.844048,0.424575,0.625583
0.548980,0.454821,0.583886
0.406123,0.095300,0.900757
0.992857,0.261792,0.811283
0.700000,0.058450,0.751550
0.590476,0.240083,0.219233
0.750000,0.550725,0.916050
0.566667,0.379750,0.728133
0.677778,0.274417,0.809733
0.496429,0.235200,0.644100
0.525714,0.222150,0.965880
0.276190,0.044333,0.755733
0.073469,0.183471,0.912414
0.597619,0.575533,0.991400
0.850000,0.185262,0.762325
0.921428,0.204117,0.550167
0.860714,0.196975,0.353250
0.677778,0.274417,0.809733
0.319047,0.626167,0.721817
0.314286,0.213420,0.656060
0.911428,0.279090,0.960940
0.778572,0.253958,0.666850
0.645238,0.200817,0.628517
0.338775,0.555043,0.746486
0.992857,0.261792,0.811283
0.761905,0.503050,0.842267
0.614286,0.065200,0.774100
0.328572,0.125762,0.669725
0.566667,0.379750,0.728133
0.685715,0.079425,0.574075
0.992857,0.261792,0.811283
0.338775,0.555043,0.746486
0.664286,0.194600,0.578950
0.568572,0.375900,0.292380
0.750000,0.550725,0.916050
0.568572,0.375900,0.292380
0.645238,0.200817,0.628517
0.804762,0.306067,0.502317
0.314286,0.213420,0.656060
0.685715,0.079425,0.574075
0.614286,0.065200,0.774100
0.574285,0.324410,0.596580
0.276190,0.044333,0.755733
0.200000,0.775975,0.766800
0.804762,0.306067,0.502317
0.597619,0.575533,0.991400
0.844048,0.424575,0.625583
0.314286,0.213420,0.656060
0.364286,0.561625,0.939950
0.568572,0.375900,0.292380
0.617857,0.063637,0.834750
0.992857,0.261792,0.811283
0.568572,0.375900,0.292380
0.364286,0.561625,0.939950
0.414286,0.217200,0.827500
0.546428,0.190200,0.757025
0.574285,0.324410,0.596580
0.433333,0.229500,0.436133
0.709524,0.587733,0.901300
0.314286,0.213420,0.656060
0.645238,0.200817,0.628517
0.597619,0.575533,0.991400
0.614286,0.344950,0.602100
0.242858,0.651925,0.521350
0.778572,0.253958,0.666850
0.568572,0.375900,0.292380
0.514286,0.445070,0.909060
0.360714,0.396294,0.816963
0.609524,0.561000,0.538867
0.597619,0.575533,0.991400
0.691837,0.188429,0.619329
0.014286,0.142750,0.953900
0.844048,0.424575,0.625583
0.062500,0.321437,0.628050
0.992857,0.261792,0.811283
0.135714,0.354425,0.875117
0.709524,0.587733,0.901300
0.314286,0.213420,0.656060
0.802857,0.123170,0.777740
0.314286,0.213420,0.656060
0.761905,0.503050,0.842267
0.406123,0.095300,0.900757
0.597619,0.575533,0.991400
0.597619,0.575533,0.991400
0.574286,0.167760,0.406500
0.802857,0.123170,0.777740
0.568572,0.375900,0.292380
0.850000,0.185262,0.762325
0.597619,0.575533,0.991400
0.380952,0.209775,0.935533
0.406123,0.095300,0.900757
0.589286,0.128663,0.503525
0.314286,0.213420,0.656060
0.314286,0.213420,0.656060
0.566667,0.379750,0.728133
0.500000,0.161025,0.764600
0.653571,0.496000,0.726800
0.314286,0.213420,0.656060
0.617857,0.063637,0.834750
0.406123,0.095300,0.900757
0.914286,0.198800,0.933000
0.568572,0.375900,0.292380
0.014286,0.142750,0.953900
0.589286,0.128663,0.503525
0.597619,0.575533,0.991400
0.500000,0.161025,0.764600
0.678571,0.032150,0.961250
0.597619,0.575533,0.991400
0.617857,0.063637,0.834750
0.905714,0.264510,0.840700
0.777551,0.309614,0.461557
0.314286,0.213420,0.656060
0.060715,0.137000,0.962975
0.642857,0.944133,0.869700
0.338775,0.555043,0.746486
0.500000,0.161025,0.764600
0.838095,0.554350,0.617533
0.314286,0.213420,0.656060
0.566667,0.379750,0.728133
0.574286,0.167760,0.406500
0.217143,0.366290,0.898980
0.819048,0.215417,0.716233
0.314286,0.213420,0.656060
0.496429,0.235200,0.644100
0.314286,0.213420,0.656060
0.568572,0.375900,0.292380
0.319047,0.626167,0.721817
0.700000,0.058450,0.751550
0.574285,0.324410,0.596580
0.685715,0.079425,0.574075
0.574286,0.167760,0.406500
0.366667,0.157233,0.996500
0.709524,0.587733,0.901300
0.709524,0.587733,0.901300
0.062500,0.321437,0.628050
0.746428,0.136162,0.821575
0.645238,0.200817,0.628517
0.568572,0.375900,0.292380
0.062500,0.321437,0.628050
0.568572,0.375900,0.292380
0.645238,0.200817,0.628517
0.609524,0.561000,0.538867
0.614286,0.530800,0.831560
0.568572,0.375900,0.292380
0.844048,0.424575,0.625583
0.314286,0.213420,0.656060
0.568572,0.375900,0.292380
0.314286,0.213420,0.656060
0.146429,0.143050,0.723550
0.814285,0.191150,0.982950
0.677778,0.274417,0.809733
0.778572,0.253958,0.666850
0.568572,0.375900,0.292380
0.609524,0.561000,0.538867
0.225000,0.317200,0.592350
0.677778,0.274417,0.809733
0.167347,0.063421,0.804786
0.597619,0.575533,0.991400
0.314286,0.213420,0.656060
0.087755,0.254536,0.817543
0.597619,0.575533,0.991400
0.709524,0.587733,0.901300
0.574285,0.324410,0.596580
0.546428,0.190200,0.757025
0.678571,0.032150,0.961250
0.314286,0.213420,0.656060
0.597619,0.575533,0.991400
0.568572,0.375900,0.292380
0.568572,0.375900,0.292380
0.568572,0.375900,0.292380
0.314286,0.213420,0.656060
0.905714,0.264510,0.840700
0.217143,0.366290,0.898980
0.414286,0.217200,0.827500
0.778572,0.253958,0.666850
0.546428,0.190200,0.757025
0.568572,0.375900,0.292380
0.157143,0.706838,0.397450
0.366667,0.157233,0.996500
0.566667,0.379750,0.728133
0.338775,0.555043,0.746486
0.338775,0.555043,0.746486
0.826191,0.031608,0.909650
0.992857,0.261792,0.811283
0.238095,0.152200,0.609350
0.844048,0.424575,0.625583
0.561905,0.112908,0.654967
0.597619,0.575533,0.991400
0.992857,0.261792,0.811283
0.640000,0.263490,0.937960
0.167347,0.063421,0.804786
0.750000,0.550725,0.916050
0.597619,0.575533,0.991400
0.166667,0.082100,0.684833
0.314286,0.213420,0.656060
0.992857,0.261792,0.811283
0.838095,0.193850,0.739233
0.365306,0.033543,0.659086
0.750000,0.550725,0.916050
0.507143,0.173075,0.965650
0.073469,0.183471,0.912414
0.574285,0.324410,0.596580
0.742857,0.759900,0.497550
0.200000,0.344050,0.686200
0.214286,0.168170,0.724240
0.496429,0.235200,0.644100
0.844048,0.424575,0.625583
0.574286,0.167760,0.406500
0.700000,0.058450,0.751550
0.500000,0.161025,0.764600
0.640000,0.263490,0.937960
0.568572,0.375900,0.292380
0.992857,0.261792,0.811283
0.087755,0.254536,0.817543
0.617857,0.063637,0.834750
0.645238,0.200817,0.628517
0.314286,0.213420,0.656060
0.905714,0.264510,0.840700
0.645238,0.200817,0.628517
0.677778,0.274417,0.809733
0.314286,0.213420,0.656060
0.514286,0.043330,0.979640
0.338775,0.555043,0.746486
0.568572,0.375900,0.292380
0.709524,0.587733,0.901300
0.328572,0.125762,0.669725
0.314286,0.213420,0.656060
0.431169,0.659214,0.716445
0.597619,0.575533,0.991400
0.574285,0.324410,0.596580
0.062500,0.321437,0.628050
0.200000,0.775975,0.766800
0.568572,0.375900,0.292380
0.406123,0.095300,0.900757
0.746428,0.136162,0.821575
0.566667,0.379750,0.728133
0.844048,0.424575,0.625583
0.750000,0.550725,0.916050
0.469643,0.434650,0.791050
0.546428,0.190200,0.757025
0.645238,0.200817,0.628517
0.421428,0.253025,0.490350
0.328572,0.125762,0.669725
0.746428,0.136162,0.821575
0.826191,0.031608,0.909650
0.548980,0.454821,0.583886
0.850000,0.185262,0.762325
0.535714,0.426413,0.834075
0.567857,0.794425,0.496325
0.777551,0.309614,0.461557
0.750000,0.550725,0.916050
0.645238,0.200817,0.628517
0.404762,0.274183,0.934400
0.597619,0.575533,0.991400
0.645238,0.200817,0.628517
0.514286,0.043330,0.979640
0.314286,0.213420,0.656060
0.496429,0.235200,0.644100
